Date,Rain,Mpot,ObsFlow
15/11/1925,3.8,5.8286,84.76
16/11/1925,3.2,5.8571,84.76
17/11/1925,0,5.7714,84.76
18/11/1925,0.2,5.7286,84.76
19/11/1925,0,5.6,84.76
20/11/1925,0,5.4857,84.76
21/11/1925,0,5.9,84.76
22/11/1925,0,6.1143,84.76
23/11/1925,0,6.3429,84.76
24/11/1925,0,6.5857,84.76
25/11/1925,0,6.6714,84.76
26/11/1925,0,6.9,84.76
27/11/1925,3.9,6.9,84.76
28/11/1925,5,6.6143,84.76
29/11/1925,0.7,6.5,84.76
30/11/1925,0,6.4,84.76
01/12/1925,0,6.3571,84.76
02/12/1925,0,6.4714,84.76
03/12/1925,0,6.4143,84.76
04/12/1925,0,6.6,84.76
05/12/1925,0,6.7429,84.76
06/12/1925,0,6.7429,84.76
07/12/1925,0,6.7714,84.76
08/12/1925,0,6.7571,84.76
09/12/1925,0,6.6857,84.76
10/12/1925,0,6.6571,76.95
11/12/1925,0.4,6.6,69.13
12/12/1925,3.8,6.4714,69.13
13/12/1925,25.3,6.3429,69.13
14/12/1925,0,6.3,76.95
15/12/1925,37.5,6.2143,94.02
16/12/1925,8.1,6.1571,120.29
17/12/1925,0,6.1714,158.75
18/12/1925,0,6.1857,180.2
19/12/1925,0,6.2857,180.2
20/12/1925,0,6.5143,180.2
21/12/1925,0,6.5714,180.2
22/12/1925,0,6.7,180.2
23/12/1925,0,6.7,180.2
24/12/1925,0.1,6.4857,180.2
25/12/1925,13.7,6.5714,180.2
26/12/1925,8.8,6.5714,180.2
27/12/1925,17.5,6.4429,180.2
28/12/1925,3.6,6.3857,180.2
29/12/1925,9.9,6.2714,180.2
30/12/1925,2.7,6.1143,197.41
31/12/1925,54,6.1429,245.53
01/01/1926,27.7,5.9,295.2
02/01/1926,9.2,5.6857,247.07
03/01/1926,65.1,5.6,247.07
04/01/1926,2.7,5.5857,527.14
05/01/1926,1.2,5.5,622.99
06/01/1926,29.1,5.6429,505.64
07/01/1926,7,5.6143,684.82
08/01/1926,0.9,5.7571,802.17
09/01/1926,1.8,5.9,740.34
10/01/1926,0,6.0429,622.99
11/01/1926,4.3,6.0571,409.79
12/01/1926,0,6.2286,313.95
13/01/1926,2.6,6.4286,295.2
14/01/1926,0,6.7286,245.53
15/01/1926,0,6.8286,175.95
16/01/1926,0,6.8286,137.29
17/01/1926,0.9,6.3857,137.29
18/01/1926,62.7,5.7429,137.29
19/01/1926,81.8,5.2143,438.81
20/01/1926,10.7,5.0429,2052.45
21/01/1926,17.2,4.8143,2627.26
22/01/1926,10.1,4.6286,1690.14
23/01/1926,0,4.6,1368.14
24/01/1926,36.8,4.9,1095.08
25/01/1926,0,5.5571,904.11
26/01/1926,0,6.0571,802.17
27/01/1926,0,6.2286,703.18
28/01/1926,0,6.2857,615.8
29/01/1926,0,6.3571,535.61
30/01/1926,0.3,6.2571,465.43
31/01/1926,23.9,6.2286,401.37
01/02/1926,1.1,6.2714,345.73
02/02/1926,0,6.2143,409.79
03/02/1926,0,5.9429,505.64
04/02/1926,0,5.9571,465.43
05/02/1926,0,5.9857,401.37
06/02/1926,0,6.1143,345.73
07/02/1926,7.5,6.1571,313.95
08/02/1926,2.8,5.5857,313.95
09/02/1926,23.7,4.9429,313.95
10/02/1926,4.4,4.6714,313.95
11/02/1926,6.8,4.5143,313.95
12/02/1926,0.3,4.3714,313.95
13/02/1926,5.4,4.2857,313.95
14/02/1926,2.4,4.3714,313.95
15/02/1926,4.5,4.8571,313.95
16/02/1926,0,5.5286,313.95
17/02/1926,0,5.9714,313.95
18/02/1926,0,6.2,313.95
19/02/1926,0,6.2429,313.95
20/02/1926,0,6.3714,313.95
21/02/1926,0,6.2571,313.95
22/02/1926,2.3,6.1714,313.95
23/02/1926,0.2,6.2286,313.95
24/02/1926,0.2,6.2,313.95
25/02/1926,0.6,6.1286,313.95
26/02/1926,0.2,6.1143,313.95
27/02/1926,0.5,5.9857,313.95
28/02/1926,8.4,6.0714,313.95
01/03/1926,0.8,6.0143,313.95
02/03/1926,2.4,5.8857,313.95
03/03/1926,1.2,5.8,313.95
04/03/1926,1.3,5.8286,313.95
05/03/1926,1.6,5.7571,313.95
06/03/1926,3,5.6857,313.95
07/03/1926,17.4,5.7571,313.95
08/03/1926,37.7,5.7143,409.79
09/03/1926,19,5.6143,505.64
10/03/1926,4.5,5.6143,465.43
11/03/1926,0.7,5.5,401.37
12/03/1926,0.1,5.4714,345.73
13/03/1926,3.1,5.4714,313.95
14/03/1926,3.1,5.2571,313.95
15/03/1926,0.3,5.3857,313.95
16/03/1926,2.3,5.3286,313.95
17/03/1926,3.4,5.2429,313.95
18/03/1926,1.1,5.2143,313.95
19/03/1926,3.4,5.2286,313.95
20/03/1926,5.8,5.3286,313.95
21/03/1926,2.2,5.3286,313.95
22/03/1926,1.5,5.3143,313.95
23/03/1926,0.5,5.3857,313.95
24/03/1926,17.9,5.3286,313.95
25/03/1926,32.7,5.1857,313.95
26/03/1926,33,5.1571,313.95
27/03/1926,5.7,4.9286,313.95
28/03/1926,3.6,4.8714,313.95
29/03/1926,1.1,4.9286,409.79
30/03/1926,0.7,4.9,505.64
31/03/1926,0.8,5.0143,505.64
01/04/1926,0,5.3143,505.64
02/04/1926,2.1,5.2429,505.64
03/04/1926,8.7,5.2857,505.64
04/04/1926,28.8,5.2429,505.64
05/04/1926,17.5,4.8286,505.64
06/04/1926,10.7,4.7,465.43
07/04/1926,5.1,4.4857,425.22
08/04/1926,4.6,4.2429,425.22
09/04/1926,6.8,4.2,425.22
10/04/1926,5.1,4.2,425.22
11/04/1926,2.4,4.2286,401.37
12/04/1926,1.1,4.5143,377.51
13/04/1926,0,4.6143,377.51
14/04/1926,0,4.7286,377.51
15/04/1926,0,4.7857,377.51
16/04/1926,0,5.0143,377.51
17/04/1926,0,4.8,345.73
18/04/1926,0,4.5143,313.95
19/04/1926,0,4.5429,313.95
20/04/1926,0,4.5571,313.95
21/04/1926,0,4.5286,313.95
22/04/1926,0,4.4857,313.95
23/04/1926,0,4.3143,313.95
24/04/1926,0,4.5714,313.95
25/04/1926,0,4.8143,313.95
26/04/1926,0,4.7429,313.95
27/04/1926,0,4.7286,313.95
28/04/1926,0,4.7,313.95
29/04/1926,0,4.7143,313.95
30/04/1926,0,4.6429,313.95
01/05/1926,0,4.6286,313.95
02/05/1926,0,4.7,313.95
03/05/1926,0,4.9429,313.95
04/05/1926,0,4.9,313.95
05/05/1926,0,4.8,313.95
06/05/1926,0,4.6286,313.95
07/05/1926,0,4.5857,313.95
08/05/1926,4.2,4.2286,295.2
09/05/1926,1.5,4,276.46
10/05/1926,0.9,3.4143,276.46
11/05/1926,0,3.3,276.46
12/05/1926,0,3.3857,245.53
13/05/1926,0,3.5429,214.61
14/05/1926,0,3.5714,214.61
15/05/1926,2.1,3.8571,214.61
16/05/1926,0,3.9714,214.61
17/05/1926,0,4.5143,214.61
18/05/1926,0,4.7143,197.41
19/05/1926,0,4.7571,180.2
20/05/1926,0,4.6286,180.2
21/05/1926,0,4.6143,180.2
22/05/1926,0,4.7,180.2
23/05/1926,0,4.8,180.2
24/05/1926,0,4.4714,180.2
25/05/1926,0,4.3286,180.2
26/05/1926,0,4.2429,180.2
27/05/1926,0,4.5286,180.2
28/05/1926,0,4.6571,180.2
29/05/1926,0,4.6,180.2
30/05/1926,0,4.4571,180.2
31/05/1926,0,4.4571,180.2
01/06/1926,0,4.4857,180.2
02/06/1926,0,4.6286,180.2
03/06/1926,0,4.5286,180.2
04/06/1926,0,4.5,180.2
05/06/1926,1.1,4.2286,180.2
