Date,Rain,Mpot,ObsFlow
1925-11-15,3.8,5.8286,84.76
1925-11-16,3.2,5.8571,84.76
1925-11-17,0,5.7714,84.76
1925-11-18,0.2,5.7286,84.76
1925-11-19,0,5.6,84.76
1925-11-20,0,5.4857,84.76
1925-11-21,0,5.9,84.76
1925-11-22,0,6.1143,84.76
1925-11-23,0,6.3429,84.76
1925-11-24,0,6.5857,84.76
1925-11-25,0,6.6714,84.76
1925-11-26,0,6.9,84.76
1925-11-27,3.9,6.9,84.76
1925-11-28,5,6.6143,84.76
1925-11-29,0.7,6.5,84.76
1925-11-30,0,6.4,84.76
1925-12-01,0,6.3571,84.76
1925-12-02,0,6.4714,84.76
1925-12-03,0,6.4143,84.76
1925-12-04,0,6.6,84.76
1925-12-05,0,6.7429,84.76
1925-12-06,0,6.7429,84.76
1925-12-07,0,6.7714,84.76
1925-12-08,0,6.7571,84.76
1925-12-09,0,6.6857,84.76
1925-12-10,0,6.6571,76.95
1925-12-11,0.4,6.6,69.13
1925-12-12,3.8,6.4714,69.13
1925-12-13,25.3,6.3429,69.13
1925-12-14,0,6.3,76.95
1925-12-15,37.5,6.2143,94.02
1925-12-16,8.1,6.1571,120.29
1925-12-17,0,6.1714,158.75
1925-12-18,0,6.1857,180.2
1925-12-19,0,6.2857,180.2
1925-12-20,0,6.5143,180.2
1925-12-21,0,6.5714,180.2
1925-12-22,0,6.7,180.2
1925-12-23,0,6.7,180.2
1925-12-24,0.1,6.4857,180.2
1925-12-25,13.7,6.5714,180.2
1925-12-26,8.8,6.5714,180.2
1925-12-27,17.5,6.4429,180.2
1925-12-28,3.6,6.3857,180.2
1925-12-29,9.9,6.2714,180.2
1925-12-30,2.7,6.1143,197.41
1925-12-31,54,6.1429,245.53
1926-01-01,27.7,5.9,295.2
1926-01-02,9.2,5.6857,247.07
1926-01-03,65.1,5.6,247.07
1926-01-04,2.7,5.5857,527.14
1926-01-05,1.2,5.5,622.99
1926-01-06,29.1,5.6429,505.64
1926-01-07,7,5.6143,684.82
1926-01-08,0.9,5.7571,802.17
1926-01-09,1.8,5.9,740.34
1926-01-10,0,6.0429,622.99
1926-01-11,4.3,6.0571,409.79
1926-01-12,0,6.2286,313.95
1926-01-13,2.6,6.4286,295.2
1926-01-14,0,6.7286,245.53
1926-01-15,0,6.8286,175.95
1926-01-16,0,6.8286,137.29
1926-01-17,0.9,6.3857,137.29
1926-01-18,62.7,5.7429,137.29
1926-01-19,81.8,5.2143,438.81
1926-01-20,10.7,5.0429,2052.45
1926-01-21,17.2,4.8143,2627.26
1926-01-22,10.1,4.6286,1690.14
1926-01-23,0,4.6,1368.14
1926-01-24,36.8,4.9,1095.08
1926-01-25,0,5.5571,904.11
1926-01-26,0,6.0571,802.17
1926-01-27,0,6.2286,703.18
1926-01-28,0,6.2857,615.8
1926-01-29,0,6.3571,535.61
1926-01-30,0.3,6.2571,465.43
1926-01-31,23.9,6.2286,401.37
1926-02-01,1.1,6.2714,345.73
1926-02-02,0,6.2143,409.79
1926-02-03,0,5.9429,505.64
1926-02-04,0,5.9571,465.43
1926-02-05,0,5.9857,401.37
1926-02-06,0,6.1143,345.73
1926-02-07,7.5,6.1571,313.95
1926-02-08,2.8,5.5857,313.95
1926-02-09,23.7,4.9429,313.95
1926-02-10,4.4,4.6714,313.95
1926-02-11,6.8,4.5143,313.95
1926-02-12,0.3,4.3714,313.95
1926-02-13,5.4,4.2857,313.95
1926-02-14,2.4,4.3714,313.95
1926-02-15,4.5,4.8571,313.95
1926-02-16,0,5.5286,313.95
1926-02-17,0,5.9714,313.95
1926-02-18,0,6.2,313.95
1926-02-19,0,6.2429,313.95
1926-02-20,0,6.3714,313.95
1926-02-21,0,6.2571,313.95
1926-02-22,2.3,6.1714,313.95
1926-02-23,0.2,6.2286,313.95
1926-02-24,0.2,6.2,313.95
1926-02-25,0.6,6.1286,313.95
1926-02-26,0.2,6.1143,313.95
1926-02-27,0.5,5.9857,313.95
1926-02-28,8.4,6.0714,313.95
1926-03-01,0.8,6.0143,313.95
1926-03-02,2.4,5.8857,313.95
1926-03-03,1.2,5.8,313.95
1926-03-04,1.3,5.8286,313.95
1926-03-05,1.6,5.7571,313.95
1926-03-06,3,5.6857,313.95
1926-03-07,17.4,5.7571,313.95
1926-03-08,37.7,5.7143,409.79
1926-03-09,19,5.6143,505.64
1926-03-10,4.5,5.6143,465.43
1926-03-11,0.7,5.5,401.37
1926-03-12,0.1,5.4714,345.73
1926-03-13,3.1,5.4714,313.95
1926-03-14,3.1,5.2571,313.95
1926-03-15,0.3,5.3857,313.95
1926-03-16,2.3,5.3286,313.95
1926-03-17,3.4,5.2429,313.95
1926-03-18,1.1,5.2143,313.95
1926-03-19,3.4,5.2286,313.95
1926-03-20,5.8,5.3286,313.95
1926-03-21,2.2,5.3286,313.95
1926-03-22,1.5,5.3143,313.95
1926-03-23,0.5,5.3857,313.95
1926-03-24,17.9,5.3286,313.95
1926-03-25,32.7,5.1857,313.95
1926-03-26,33,5.1571,313.95
1926-03-27,5.7,4.9286,313.95
1926-03-28,3.6,4.8714,313.95
1926-03-29,1.1,4.9286,409.79
1926-03-30,0.7,4.9,505.64
1926-03-31,0.8,5.0143,505.64
1926-04-01,0,5.3143,505.64
1926-04-02,2.1,5.2429,505.64
1926-04-03,8.7,5.2857,505.64
1926-04-04,28.8,5.2429,505.64
1926-04-05,17.5,4.8286,505.64
1926-04-06,10.7,4.7,465.43
1926-04-07,5.1,4.4857,425.22
1926-04-08,4.6,4.2429,425.22
1926-04-09,6.8,4.2,425.22
1926-04-10,5.1,4.2,425.22
1926-04-11,2.4,4.2286,401.37
1926-04-12,1.1,4.5143,377.51
1926-04-13,0,4.6143,377.51
1926-04-14,0,4.7286,377.51
1926-04-15,0,4.7857,377.51
1926-04-16,0,5.0143,377.51
1926-04-17,0,4.8,345.73
1926-04-18,0,4.5143,313.95
1926-04-19,0,4.5429,313.95
1926-04-20,0,4.5571,313.95
1926-04-21,0,4.5286,313.95
1926-04-22,0,4.4857,313.95
1926-04-23,0,4.3143,313.95
1926-04-24,0,4.5714,313.95
1926-04-25,0,4.8143,313.95
1926-04-26,0,4.7429,313.95
1926-04-27,0,4.7286,313.95
1926-04-28,0,4.7,313.95
1926-04-29,0,4.7143,313.95
1926-04-30,0,4.6429,313.95
1926-05-01,0,4.6286,313.95
1926-05-02,0,4.7,313.95
1926-05-03,0,4.9429,313.95
1926-05-04,0,4.9,313.95
1926-05-05,0,4.8,313.95
1926-05-06,0,4.6286,313.95
1926-05-07,0,4.5857,313.95
1926-05-08,4.2,4.2286,295.2
1926-05-09,1.5,4,276.46
1926-05-10,0.9,3.4143,276.46
1926-05-11,0,3.3,276.46
1926-05-12,0,3.3857,245.53
1926-05-13,0,3.5429,214.61
1926-05-14,0,3.5714,214.61
1926-05-15,2.1,3.8571,214.61
1926-05-16,0,3.9714,214.61
1926-05-17,0,4.5143,214.61
1926-05-18,0,4.7143,197.41
1926-05-19,0,4.7571,180.2
1926-05-20,0,4.6286,180.2
1926-05-21,0,4.6143,180.2
1926-05-22,0,4.7,180.2
1926-05-23,0,4.8,180.2
1926-05-24,0,4.4714,180.2
1926-05-25,0,4.3286,180.2
1926-05-26,0,4.2429,180.2
1926-05-27,0,4.5286,180.2
1926-05-28,0,4.6571,180.2
1926-05-29,0,4.6,180.2
1926-05-30,0,4.4571,180.2
1926-05-31,0,4.4571,180.2
1926-06-01,0,4.4857,180.2
1926-06-02,0,4.6286,180.2
1926-06-03,0,4.5286,180.2
1926-06-04,0,4.5,180.2
1926-06-05,1.1,4.2286,180.2
1926-06-06,1.1,3.9,180.2
1926-06-07,0.3,3.9286,180.2
1926-06-08,0.3,3.9857,180.2
1926-06-09,0,3.8143,180.2
1926-06-10,1,3.5429,180.2
1926-06-11,1.1,3.1571,180.2
1926-06-12,0.7,3.2143,158.75
1926-06-13,8.4,3.4714,137.29
1926-06-14,6.6,3.2429,137.29
1926-06-15,0.4,3,137.29
1926-06-16,4.5,2.8286,137.29
1926-06-17,4.1,2.8857,137.29
1926-06-18,2,3.0286,137.29
1926-06-19,0.7,2.9857,137.29
1926-06-20,0,2.9857,137.29
1926-06-21,0,3.0429,137.29
1926-06-22,0.4,3,137.29
1926-06-23,0.2,3.0714,137.29
1926-06-24,0,3.0429,137.29
1926-06-25,0,3.0857,120.29
1926-06-26,0,3.0857,103.28
1926-06-27,0,3.1571,103.28
1926-06-28,0,3.2286,103.28
1926-06-29,0,3.4714,103.28
1926-06-30,0,3.5571,103.28
1926-07-01,0,3.6143,103.28
1926-07-02,0,3.7143,103.28
1926-07-03,0,4.0429,103.28
1926-07-04,0,4.0571,103.28
1926-07-05,1.7,4.0857,103.28
1926-07-06,2.3,3.6571,103.28
1926-07-07,1.2,3.6143,103.28
1926-07-08,1,3.5,103.28
